"OP","Reason"
"mkldnn","CPU backend specific"
"cudnn","CUDA backend specific"
"miopen","ROCm backend specific"
"nnpack","Library specific"
"thnn","CUDA backend specific"
"mkl","CPU backend specific"
"_sparse","HPU does not support sparse tensors"
"slow","CPU/GPU backend specific"
"quantiz","HPU does not support quantized ops"
"fbgemm","CPU/GPU backend specific"
"_cufft","CUDA backend specific"
"vulkan","GPU backend specific"
"_cast_Byte","GPU backend specific"
"_cast_Char","GPU backend specific"
"_cast_Double","GPU backend specific"
"_cast_Float","GPU backend specific"
"_cast_Half","GPU backend specific"
"_cast_Int","GPU backend specific"
"_cast_Long","GPU backend specific"
"_cast_Short","GPU backend specific"
"_amp_foreach_non_finite_check_and_unscale","GPU backend specific"
"_amp_update_scale","GPU backend specific"
"_convert_indices_from_coo_to_csr","HPU does not support complex numbers"
"_convert_indices_from_csr_to_coo","HPU does not support complex numbers"
"_fft_c2c","HPU does not support complex numbers"
"_fft_c2r","HPU does not support complex numbers"
"_fft_r2c","HPU does not support complex numbers"
"_torch_cuda_cu_linker_symbol_op","GPU backend specific"
"complex","HPU does not support complex numbers"
"i0","Removed based on TF analysis on necessary ops"
"igamma","Removed based on TF analysis on necessary ops"
"igammac","Removed based on TF analysis on necessary ops"
"lgamma","Removed based on TF analysis on necessary ops"
"special_i0e","Removed based on TF analysis on necessary ops"
"special_i1","Removed based on TF analysis on necessary ops"
"special_i1e","Removed based on TF analysis on necessary ops"
"special_log_ndtr","Removed based on TF analysis on necessary ops"
"special_ndtri","Removed based on TF analysis on necessary ops"
"special_zeta","Removed based on TF analysis on necessary ops"
"view_as_complex","HPU does not support complex numbers"
"view_as_real","HPU does not support complex numbers"
"special_bessel_j0","Removed based on TF analysis on necessary ops"
"special_bessel_j1","Removed based on TF analysis on necessary ops"
"special_bessel_y0","Removed based on TF analysis on necessary ops"
"special_bessel_y1","Removed based on TF analysis on necessary ops"
"special_chebyshev_polynomial_t","Removed based on TF analysis on necessary ops"
"special_chebyshev_polynomial_u","Removed based on TF analysis on necessary ops"
"special_chebyshev_polynomial_v","Removed based on TF analysis on necessary ops"
"special_chebyshev_polynomial_w","Removed based on TF analysis on necessary ops"
"special_hermite_polynomial_h","Removed based on TF analysis on necessary ops"
"special_hermite_polynomial_he","Removed based on TF analysis on necessary ops"
"special_laguerre_polynomial_l","Removed based on TF analysis on necessary ops"
"special_legendre_polynomial_p","Removed based on TF analysis on necessary ops"
"special_modified_bessel_i0","Removed based on TF analysis on necessary ops"
"special_modified_bessel_i1","Removed based on TF analysis on necessary ops"
"special_modified_bessel_k0","Removed based on TF analysis on necessary ops"
"special_modified_bessel_k1","Removed based on TF analysis on necessary ops"
"special_scaled_modified_bessel_k0","Removed based on TF analysis on necessary ops"
"special_scaled_modified_bessel_k1","Removed based on TF analysis on necessary ops"
"special_shifted_chebyshev_polynomial_t","Removed based on TF analysis on necessary ops"
"special_shifted_chebyshev_polynomial_u","Removed based on TF analysis on necessary ops"
"special_shifted_chebyshev_polynomial_v","Removed based on TF analysis on necessary ops"
"special_shifted_chebyshev_polynomial_w","Removed based on TF analysis on necessary ops"
"special_spherical_bessel_j0","Removed based on TF analysis on necessary ops"
"digamma","Removed based on TF analysis on necessary ops"
"polygamma","Removed based on TF analysis on necessary ops"
"mvlgamma","Removed based on TF analysis on necessary ops"
